student_id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S-0001,female,group B,bachelor's degree,standard,none,72,72,74
S-0002,female,group C,some college,standard,completed,69,90,88
S-0003,female,group B,master's degree,standard,none,90,95,93
S-0004,male,group A,associate's degree,free/reduced,none,47,57,44
S-0005,male,group C,some college,standard,none,76,78,75
S-0006,female,group B,associate's degree,standard,none,71,83,78
S-0007,female,group B,some college,standard,completed,88,95,92
S-0008,male,group B,some college,free/reduced,none,40,43,39
S-0009,male,group D,high school,free/reduced,completed,64,64,67
S-0010,female,group B,high school,free/reduced,none,38,60,50
S-0011,male,group C,associate's degree,standard,none,58,54,52
S-0012,male,group D,associate's degree,standard,none,40,52,43
S-0013,female,group B,high school,standard,none,65,81,73
S-0014,male,group A,some college,standard,completed,78,72,70
S-0015,female,group A,master's degree,standard,none,50,53,58
S-0016,female,group C,some high school,standard,none,69,75,78
S-0017,male,group C,high school,standard,none,88,89,86
S-0018,female,group B,some high school,free/reduced,none,18,32,28
S-0019,male,group C,master's degree,free/reduced,completed,46,42,46
S-0020,female,group C,associate's degree,free/reduced,none,54,58,61
S-0021,male,group D,high school,standard,none,66,69,63
S-0022,female,group B,some college,free/reduced,completed,65,75,70
S-0023,male,group D,some college,standard,none,44,54,53
S-0024,female,group C,some high school,standard,none,69,73,73
S-0025,male,group D,bachelor's degree,free/reduced,completed,74,71,80
S-0026,male,group A,master's degree,free/reduced,none,73,74,72
S-0027,male,group B,some college,standard,none,69,54,55
S-0028,female,group C,bachelor's degree,standard,none,67,69,75
S-0029,male,group C,high school,standard,none,70,70,65
S-0030,female,group D,master's degree,standard,none,62,70,75
S-0031,female,group D,some college,standard,none,69,74,74
S-0032,female,group B,some college,standard,none,63,65,61
S-0033,female,group E,master's degree,free/reduced,none,56,72,65
S-0034,male,group D,some college,standard,none,40,42,38
S-0035,male,group E,some college,standard,none,97,87,82
S-0036,male,group E,associate's degree,standard,completed,81,81,79
S-0037,female,group D,associate's degree,standard,none,74,81,83
S-0038,female,group D,some high school,free/reduced,none,50,64,59
S-0039,female,group D,associate's degree,free/reduced,completed,75,90,88
S-0040,male,group B,associate's degree,free/reduced,none,57,56,57
S-0041,male,group C,associate's degree,free/reduced,none,55,61,54
S-0042,female,group C,associate's degree,standard,none,58,73,68
S-0043,female,group B,associate's degree,standard,none,53,58,65
S-0044,male,group B,some college,free/reduced,completed,59,65,66
S-0045,female,group E,associate's degree,free/reduced,none,50,56,54
S-0046,male,group B,associate's degree,standard,none,65,54,57
S-0047,female,group A,associate's degree,standard,completed,55,65,62
S-0048,female,group C,high school,standard,none,66,71,76
S-0049,female,group D,associate's degree,free/reduced,completed,57,74,76
S-0050,male,group C,high school,standard,completed,82,84,82
S-0051,male,group E,some college,standard,none,53,55,48
S-0052,male,group E,associate's degree,free/reduced,completed,77,69,68
S-0053,male,group C,some college,standard,none,53,44,42
S-0054,male,group D,high school,standard,none,88,78,75
S-0055,female,group C,some high school,free/reduced,completed,71,84,87
S-0056,female,group C,high school,free/reduced,none,33,41,43
S-0057,female,group E,associate's degree,standard,completed,82,85,86
S-0058,male,group D,associate's degree,standard,none,52,55,49
S-0059,male,group D,some college,standard,completed,58,59,58
S-0060,female,group C,some high school,free/reduced,none,0,17,10
S-0061,male,group E,bachelor's degree,free/reduced,completed,79,74,72
S-0062,male,group A,some high school,free/reduced,none,39,39,34
S-0063,male,group A,associate's degree,free/reduced,none,62,61,55
S-0064,female,group C,associate's degree,standard,none,69,80,71
S-0065,female,group D,some high school,standard,none,59,58,59
S-0066,male,group B,some high school,standard,none,67,64,61
S-0067,male,group D,some high school,free/reduced,none,45,37,37
S-0068,female,group C,some college,standard,none,60,72,74
S-0069,male,group B,associate's degree,free/reduced,none,61,58,56
S-0070,female,group C,associate's degree,standard,none,39,64,57
S-0071,female,group D,some college,free/reduced,completed,58,63,73
S-0072,male,group D,some college,standard,completed,63,55,63
S-0073,female,group A,associate's degree,free/reduced,none,41,51,48
S-0074,male,group C,some high school,free/reduced,none,61,57,56
S-0075,male,group C,some high school,standard,none,49,49,41
S-0076,male,group B,associate's degree,free/reduced,none,44,41,38
S-0077,male,group E,some high school,standard,none,30,26,22
S-0078,male,group A,bachelor's degree,standard,completed,80,78,81
S-0079,female,group D,some high school,standard,completed,61,74,72
S-0080,female,group E,master's degree,standard,none,62,68,68
S-0081,female,group B,associate's degree,standard,none,47,49,50
S-0082,male,group B,high school,free/reduced,none,49,45,45
S-0083,male,group A,some college,free/reduced,completed,50,47,54
S-0084,male,group E,associate's degree,standard,none,72,64,63
S-0085,male,group D,high school,free/reduced,none,42,39,34
S-0086,female,group C,some college,standard,none,73,80,82
S-0087,female,group C,some college,free/reduced,none,76,83,88
S-0088,female,group D,associate's degree,standard,none,71,71,74
S-0089,female,group A,some college,standard,none,58,70,67
S-0090,female,group D,some high school,standard,none,73,86,82
S-0091,female,group C,bachelor's degree,standard,none,65,72,74
S-0092,male,group C,high school,free/reduced,none,27,34,36
S-0093,male,group C,high school,standard,none,71,79,71
S-0094,male,group C,associate's degree,free/reduced,completed,43,45,50
S-0095,female,group B,some college,standard,none,79,86,92
S-0096,male,group C,associate's degree,free/reduced,completed,78,81,82
S-0097,male,group B,some high school,standard,completed,65,66,62
S-0098,female,group E,some college,standard,completed,63,72,70
S-0099,female,group D,some college,free/reduced,none,58,67,62
S-0100,female,group D,bachelor's degree,standard,none,65,67,62
S-0101,male,group B,some college,standard,none,79,67,67
S-0102,male,group D,bachelor's degree,standard,completed,68,74,74
S-0103,female,group D,associate's degree,standard,none,85,91,89
S-0104,male,group B,high school,standard,completed,60,44,47
S-0105,male,group C,some college,standard,completed,98,86,90
S-0106,female,group C,some college,standard,none,58,67,72
S-0107,female,group D,master's degree,standard,none,87,100,100
S-0108,male,group E,associate's degree,standard,completed,66,63,64
S-0109,female,group B,associate's degree,free/reduced,none,52,76,70
S-0110,female,group B,some high school,standard,none,70,64,72
S-0111,female,group D,associate's degree,free/reduced,completed,77,89,98
S-0112,male,group C,high school,standard,none,62,55,49
S-0113,male,group A,associate's degree,standard,none,54,53,47
S-0114,female,group D,some college,standard,none,51,58,54
S-0115,female,group E,bachelor's degree,standard,completed,99,100,100
S-0116,male,group C,high school,standard,none,84,77,74
S-0117,female,group B,bachelor's degree,free/reduced,none,75,85,82
S-0118,female,group D,bachelor's degree,standard,none,78,82,79
S-0119,female,group D,some high school,standard,none,51,63,61
S-0120,female,group C,some college,standard,none,55,69,65
S-0121,female,group C,bachelor's degree,standard,completed,79,92,89
S-0122,male,group B,associate's degree,standard,completed,91,89,92
S-0123,female,group C,some college,standard,completed,88,93,93
S-0124,male,group D,high school,free/reduced,none,63,57,56
S-0125,male,group E,some college,standard,none,83,80,73
S-0126,female,group B,high school,standard,none,87,95,86
S-0127,male,group B,some high school,standard,none,72,68,67
S-0128,male,group D,some college,standard,completed,65,77,74
S-0129,male,group D,master's degree,standard,none,82,82,74
S-0130,female,group A,bachelor's degree,standard,none,51,49,51
S-0131,male,group D,master's degree,standard,none,89,84,82
S-0132,male,group C,some high school,free/reduced,completed,53,37,40
S-0133,male,group E,some college,free/reduced,completed,87,74,70
S-0134,female,group C,some college,standard,completed,75,81,84
S-0135,male,group D,bachelor's degree,free/reduced,completed,74,79,75
S-0136,male,group C,bachelor's degree,standard,none,58,55,48
S-0137,male,group B,some high school,standard,completed,51,54,41
S-0138,male,group E,high school,standard,none,70,55,56
S-0139,female,group C,associate's degree,standard,none,59,66,67
S-0140,male,group D,some college,standard,completed,71,61,69
S-0141,female,group D,some high school,standard,none,76,72,71
S-0142,female,group C,some college,free/reduced,none,59,62,64
S-0143,female,group E,some college,free/reduced,completed,42,55,54
S-0144,male,group A,high school,standard,none,57,43,47
S-0145,male,group D,some college,standard,none,88,73,78
S-0146,female,group C,some college,free/reduced,none,22,39,33
S-0147,male,group B,some high school,standard,none,88,84,75
S-0148,male,group C,associate's degree,free/reduced,none,73,68,66
S-0149,female,group D,bachelor's degree,standard,completed,68,75,81
S-0150,male,group E,associate's degree,free/reduced,completed,100,100,93
S-0151,male,group A,some high school,standard,completed,62,67,69
S-0152,male,group A,bachelor's degree,standard,none,77,67,68
S-0153,female,group B,associate's degree,standard,completed,59,70,66
S-0154,male,group D,bachelor's degree,standard,none,54,49,47
S-0155,male,group D,some high school,standard,none,62,67,61
S-0156,female,group C,some college,standard,completed,70,89,88
S-0157,female,group E,high school,free/reduced,completed,66,74,78
S-0158,male,group B,some college,free/reduced,none,60,60,60
S-0159,female,group B,associate's degree,standard,completed,61,86,87
S-0160,male,group D,associate's degree,free/reduced,none,66,62,64
S-0161,male,group B,associate's degree,free/reduced,completed,82,78,74
S-0162,female,group E,some college,free/reduced,completed,75,88,85
S-0163,male,group B,master's degree,free/reduced,none,49,53,52
S-0164,male,group C,high school,standard,none,52,53,49
S-0165,female,group E,master's degree,standard,none,81,92,91
S-0166,female,group C,bachelor's degree,standard,completed,96,100,100
S-0167,male,group C,high school,free/reduced,completed,53,51,51
S-0168,female,group B,master's degree,free/reduced,completed,58,76,78
S-0169,female,group B,high school,standard,completed,68,83,78
S-0170,female,group C,some college,free/reduced,completed,67,75,70
S-0171,male,group A,high school,standard,completed,72,73,74
